id,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,feature97,feature98,feature99
11,4.43,4.395,4.59,4.44,4.355,4.426,4.67,4.37,4.199,4.603,11844.989,11845.906,11980.667,11973.829,11843.972,23019.725,22846.087,22985.263,22848.662,22845.511,33980.046,33851.043,33984.211,33978.512,33980.692,33990.633,33926.304,33859.269,33980.938,33981.085,44984.01,44982.118,44981.581,44985.175,44981.376,55969.837,55980.16,55980.952,55984.207,55981.962,66854.643,66991.717,66876.857,66983.3,67099.716,78083.361,78101.168,78170.219,77980.767,77983.773,88995.052,88989.013,88922.505,88983.109,88986.5,89005.451,88981.052,89105.817,88982.781,89102.076,99982.029,99979.974,99982.801,100021.606,100084.651,111045.287,110990.401,111064.269,110991.132,110983.713,121945.847,121980.879,122049.126,121922.967,122062.39,132978.523,132984.602,132885.122,132886.278,133286.362,146467.31,144270.482,143900.896,143903.302,143930.362,155502.458,154971.093,156314.075,154927.126,154987.942,154933.777,155034.475,155111.687,154916.79,154911.248,165900.701,165984.16,167556.049,166648.585,165892.118
12,4.47,4.35,4.392,4.585,4.809,4.325,4.591,4.566,4.358,4.492,12932.667,13077.496,12927.55,13068.275,13070.087,24999.819,25109.785,25000.899,25078.474,25078.218,36842.741,37071.201,37067.959,37061.144,37077.842,37081.427,36955.166,37076.742,36929.818,37060.297,49081.731,48992.405,48931.145,48931.06,49087.77,61081.695,61115.934,61076.91,61086.241,60924.777,72915.373,72927.98,73004.87,73079.026,73081.808,85080.775,85081.025,85075.297,85081.058,85080.156,97092.569,97078.327,96937.236,97083.716,96930.277,97076.68,97085.899,97079.139,97074.621,97079.156,109080.146,108907.228,108933.63,109079.198,109164.884,120958.832,121086.31,121088.738,121083.471,121079.772,132916.994,133079.945,133084.427,133079.544,133124.435,145132.947,145088.8,144990.453,144992.49,145243.878,156963.125,160445.797,157005.904,157389.396,159294.335,169028.362,168981.582,172060.113,169023.043,169017.425,169036.324,169200.74,169071.254,168997.667,169043.621,181026.26,181124.419,180978.938,180996.248,181053.074
13,4.139,4.24,4.548,4.661,4.836,4.525,4.808,4.556,4.495,4.155,14207.775,14008.948,14170.591,14003.874,14159.217,27128.298,27211.27,27035.316,27170.43,27169.148,40170.508,40167.291,40170.287,40176.527,40173.595,40156.767,40017.259,40214.129,40173.568,40178.997,53151.602,53172.347,53167.318,53170.07,53162.101,66178.063,66174.128,66034.105,66098.175,66176.557,79008.06,79294,79174.256,79177.203,79032.671,92171.495,92172.855,92176.22,92230.591,92169.048,104987.427,105176.603,104967.801,105084.078,105316.369,105013.595,104970.919,105256.12,105173.015,105173.349,118009.484,118173.945,118178.626,118293.696,118162.326,131179.207,131013.662,131179.575,131177.057,130984.672,144222.451,144174.335,144175.801,144178.457,144178.187,157189.497,157147.716,157063.399,157178.48,157608.059,170073.58,170043.67,171244.725,170063.644,170060.935,183045.79,184343.014,183015.858,184783.685,183120.841,183201.966,183266.974,183188.232,185272.17,183835.602,196149.136,196240.459,196198.969,196095.091,196160.931
14,4.453,4.485,4.733,4.39,4.403,4.619,4.355,4.678,4.37,4.244,15268.19,14996.331,15270.655,15181.625,15044.339,29263.904,29268.244,29114.214,29305.014,29281.369,43266.157,43202.66,43084.387,43101.15,43256.805,43265.818,43093.355,43267.77,43306.976,43312.781,57087.97,57268.003,57264.939,57085.497,57276.392,71272.471,71268.253,71087.263,71265.457,71314.167,85091.207,85264.823,85289.604,85089.558,85269.043,99312.63,99412.463,99263.818,99392.467,99324.446,113269.145,113272.675,113388.665,113167.274,113011.309,113286.96,113274.322,113275.064,113274.798,113427.6,127153.171,127274.587,127276.591,127120.807,127061.641,141286.772,141275.178,141247.191,141270.991,141171.04,155273.685,155277.671,155021.777,155268.417,155279.646,169279.377,169169.757,169125.772,169189.101,170469.496,186143.305,183189.812,183236.593,183177.712,187054.104,197001.47,197685.963,197174.673,197161.958,197146.507,197307.669,197316.613,197262.621,197114.446,197225.044,211144.591,211326.979,211275.297,211124.962,211229.594
15,4.463,4.556,4.155,4.405,4.363,4.629,4.643,4.405,4.144,4.456,16364.236,16194.819,16364.615,16350.479,16454.074,31243.592,31366.582,31364.963,31263.834,31361.777,46373.903,46363.043,46368.285,46155.245,46366.183,46165.727,46369.002,46372.916,46157.16,46239.342,61374.419,61364.132,61166.909,61358.587,61368.721,76345.84,76373.138,76368.472,76363.356,76365.343,91370.283,91363.08,91177.784,91372.549,91174.018,106410.263,106368.161,106421.863,106365.277,106364.701,121369.133,121241.378,121305.945,121412.047,121363.338,121378.923,121076.138,121368.331,121408.163,121370.218,136449.751,136364.169,136490.655,136378.644,136373.004,151447.504,151373.066,151371.891,151369.055,151168.599,166181.057,166403.421,166381.952,166373.427,166373.905,181332.54,181375.221,181237.721,181286.038,181192.913,196264.069,198515.434,196350.454,196211.249,197081.773,212642.27,211208.818,215006.263,212712.442,217136.57,211228.023,211329.775,211408.946,211400.073,211341.678,226255.953,226232.739,226264.419,226229.596,226327.129
16,4.413,4.44,4.235,4.289,4.443,4.275,4.413,4.633,4.207,4.249,17458.637,17240.786,17347.104,17464.888,17455.271,33455.647,33463.643,33464.798,33455.554,33465.88,49254.246,49248.739,49465.565,49471.809,49463.38,49469.654,49250.53,49466.82,49462.257,49451.73,65480.394,65455.974,65471.295,65466.027,65458.525,81462.871,81398.642,81459.279,81462.627,81461.778,97498.194,97458.109,97245.694,97463.028,97544.704,113457.224,113581.747,113469.079,113469.523,113508.437,129467.558,129249.113,129465.796,129575.544,129456.056,129465.949,129184.601,129228.363,129526.657,129465.902,145472.632,145258.71,145601.219,145436.338,145463.674,161477.41,161468.532,161465.146,161511.313,161470.271,177547.609,177587.807,177469.617,177461.042,177462.11,193512.566,193384.011,193764.242,193319.903,193328.37,212928.206,209282.631,209389.045,209291.107,209273.212,225340.134,227962.983,225473.68,225250.998,225308.831,225310.197,225384.059,225496.984,225397.878,225389.515,242154.721,242452.436,241393.549,241408.998,241517.801
17,4.393,4.315,4.538,4.485,4.523,4.553,4.239,4.132,4.405,4.35,18547.411,18551.73,18555.452,18345.175,18627.8,35398.051,35002.382,35552.631,35553.516,35517.013,52557.77,52421.906,52602.312,52603.169,52539.596,52559.329,52321.913,52533.644,52553.665,52604.55,69557.161,69561.16,69556.895,69619.149,69559.376,86561.418,86565.357,86217.062,86558.208,86571.551,103553.153,103577.555,103563.813,103678.019,103268.012,120564.191,120685.01,120569.516,120566.501,120337.26,137580.343,137563.557,137572.701,137405.963,137380.321,137560.036,137402.398,137560.069,137409.08,137333.922,154556.69,154565.797,154528.731,154555.223,154564.081,171562.957,171576.346,171569.493,171331.889,171575.706,188567.954,188696.293,188645.583,188403.767,188222.245,205692.86,205319.455,205321.857,206437.089,206091.878,222347.664,222361.486,222826.075,222944.71,223357.316,239432.5,239350.786,239586.754,241616.911,240389.706,239378.142,239545.212,239496.407,239504.298,239465.687,256432.058,256414.395,256115.064,256436.113,256489.053
18,4.56,4.333,4.491,4.473,4.208,4.383,4.338,4.555,4.461,4.458,19284.108,19400.369,19403.143,19634.485,19673.418,37655.509,37407.233,37411.096,37650.274,37646.3,55655.912,55487.831,55656.849,55660.517,55689.288,55605.27,55605.884,55661.594,55652.037,55653.867,73658.177,73641.268,73402.737,73658.961,73694.092,91637.263,91403.626,91657.585,91654.014,91684.261,109408.524,109664.006,109774.813,109479.949,109652.738,127424.749,127624.022,127340.685,127670.539,127595.972,145661.31,145450.042,145659.736,145712.018,145658.929,145659.601,145659.877,145663.082,145707.57,145661.858,163779.28,163643.756,163289.637,163654.023,163667.273,181666.026,181637.627,181724.433,181662.529,181780.4,199624.334,199764.903,199662.925,199713.166,199639.138,217672.558,217432.78,221454.817,217496.769,217582.838,238091.71,236674.993,235451.446,235534.748,235485.803,253469.197,253708.903,255557.282,253458.234,253508.513,253482.487,253700.228,253584.042,253466.811,253625.59,271493.204,271473.877,271542.559,271564.113,271625.718
19,4.448,4.548,4.468,4.433,4.278,4.247,4.39,4.385,4.501,4.417,20478.81,20751.718,20753.312,20738.546,20744.544,39690.938,39745.331,39757.487,39759.107,39744.141,58747.879,58763.199,58344.605,58771.092,58738.447,58722.094,58750.32,58483.365,58765.525,58482.954,77792.923,77509.425,77745.092,77790.921,77748.327,96755.834,96756.896,96766.093,96760.69,96483.014,115851.071,115754.005,115755.19,115754.769,115723.487,134745.976,134787.349,134486.427,134753.836,134737.466,153749.235,153756.141,153756.275,153749.704,153566.01,153758.349,153872.069,153757.913,153765.145,153693.549,172757.074,172875.048,172482.131,172747.168,172755.695,191800.002,191727.199,191575.634,191792.966,191755.49,210768.905,210772.455,210789.367,210835.107,210749.841,229761.899,229620.7,232536.661,234009.796,231449.504,251331.957,252943.325,248466.941,248690.345,248536.939,267544.455,267531.633,268138.919,267489.842,270054.792,267705.801,267634.697,267701.431,267701.163,268029.985,286500.173,288670.636,286696.932,286830.859,288397.558
20,4.348,4.56,4.653,4.58,4.693,4.573,4.769,4.443,4.475,4.314,21563.331,21567.736,21567.037,21842.633,21840.045,41840.553,41842.553,41569.763,41846.314,41677.422,61863.747,61841.325,61852.511,61846.968,61843.274,61849.83,61842.55,61858.039,61844.254,61842.655,81851.633,81896.652,81846.509,81853.294,81840.989,101844.06,101849.967,101884.371,101848.39,101852.031,121810.242,121632.371,121852.77,121942.693,121572.377,141837.858,141832.841,141847.826,141843.789,141844.964,161853.561,161853.411,161851.281,161846.35,161647,161849.083,161912.021,161620.779,161437.011,161842.049,181654.081,181853.691,181849.226,181844.926,181857.758,201862.96,201888.138,201855.395,201859.837,201885.186,221859.384,221568.031,221765.557,221480.34,221853.756,241873.268,241630.144,241637.035,241661.993,241659.951,261613.635,263401.305,261578.374,261629.494,261755.763,281679.865,281774.937,281675.332,281667.342,283893.627,285837.149,281649.285,282018.179,281700.924,281815.341,302194.747,301752.327,301748.24,301788.739,301759.282
21,4.157,4.438,4.112,4.493,4.208,4.29,4.416,4.443,4.227,4.661,22941.294,22960.218,22936.563,22946.132,23224.175,43940.286,43937.489,43927.6,43951.325,43952.359,64941.982,64640.444,64957.079,64938.875,64946.259,64928.9,64641.153,64948.806,64939.687,64982.36,85978.02,85945.811,85647.67,85927.01,85936.672,106939.849,106644.677,106943.825,106952.273,106943.948,127949.175,127943.645,127945.105,127643.742,127957.246,148941.672,148957.373,149068.589,148958.418,148938.383,169973.636,169986.454,169952.239,169955.238,169944.406,169984.113,169646.644,169950.485,169948.876,169723.162,191028.392,190992.572,190946.974,190653.391,190852.049,211944.636,212068.219,211950.103,211951.535,211951.702,232958.888,232935.337,232940.07,232955.248,232994.613,253954.086,253796.328,253693.365,253668.898,253700.253,275548.356,274764.551,277044.678,274718.449,274773.46,295665.384,295750.466,295853.404,295665.502,295747.66,296278.055,295682.249,295904.88,295726.601,295919.519,317146.939,317093.184,316901.808,316660.557,316868.473
22,4.4,4.328,4.741,4.368,4.137,4.548,4.566,4.666,4.355,4.395,23790.19,23727.297,24026.32,24038.551,24051.263,45725.317,46039.959,46035.333,46036.972,46041.778,68038.608,68040.502,68029.569,68019.564,68038.949,68039.032,68018.511,68047.408,68052.227,67992.271,89717.463,90084.587,90048.899,90039.113,90032.183,112030.772,111728.087,112044.123,112055.592,112044.255,134089.995,134037.196,134044.2,133756.43,134115.926,155724.28,156049.674,156050.686,156037.775,156032.369,178045.299,178086.571,178024.266,178045.619,178047.472,178045.983,178085.273,178050.331,177732.907,178053.54,200083.319,200058.577,200093.958,200027.723,199725.199,222090.182,222096.547,222049.275,222050.087,222038.72,244054.898,244060.199,243803.92,244045.358,244101.871,266255.606,265789.514,265821.736,265956.174,270700.591,287722.189,288501.909,289370.078,288342.283,288668.309,309908.699,309825.536,309837.858,309803.849,310377.988,310403.843,309793.691,309904.632,309953.918,309915.85,331780.946,331960.36,331995.036,331864.739,331942.248
23,4.691,4.41,4.493,4.796,4.501,4.362,4.358,4.545,4.082,4.515,25133.939,24803.257,25015.292,25120.839,24696.406,48128.616,48132.523,48125.649,48134.861,48123.567,70898.191,71130.578,71025.538,71132.011,70801.43,71097.464,71137.158,70816.893,70815.848,71146.652,94141.756,94145.845,94136.842,94150.811,94161.144,117138.839,116832.075,117131.249,117178.257,117142.344,140132.501,140142.812,140137.829,140134.543,140180.455,163131.992,163134.125,163153.818,163127.927,163143.285,186144.084,185989.903,186137.064,186075.726,186072.515,186142.12,185887.865,186122.029,186130.403,185655.551,209160.515,209163.629,209272.887,209129.686,209129.49,231814.921,231896.542,231688.11,231888.381,232196.472,255180.112,255139.55,255257.209,254891.156,255133.544,280888.094,277845.165,277876.691,277826.352,277835.129,300879.148,300904.727,307616.785,300953.535,300901.705,323924.776,323925.374,323940.004,323895.137,323862.775,324053.496,324124.309,324015.865,324033.444,323980.015,346914.346,347005.868,347007.789,346923.788,347143.456
24,4.5,4.52,4.172,4.528,4.862,4.505,4.328,4.693,4.43,4.237,26042.38,25875.803,26224.22,26222.408,26214.019,50224.989,50233.669,50012.496,49876.408,50269.995,74183.901,74125.476,74226.841,74197.472,74217.596,74196.547,74245.699,74246.929,74244.258,73878.548,98222.066,98229.694,98236.088,98227.474,98260.49,122236.594,122235.151,122229.756,122226.591,122277.421,146359.335,146235.001,146231.655,146246.722,146233.216,170239.518,170223.475,170234.882,169722.671,170246.289,194228.665,193996.082,194236.497,193926.469,194243.935,194249.407,194244.661,194243.248,194251.302,194230.098,218238.961,218256.137,218061.458,218248.433,218247.229,241900.13,242279.013,242241.521,242241.559,242237.787,266244.265,266250.935,266328.251,265969.607,266240.503,290041.378,290026.398,292093.014,290079.391,290157.852,315048.481,315042.458,313902.329,313998.193,317316.189,337860.266,337969.33,337981.436,337876.892,338192.373,337969.451,338080.062,337926.209,338017.462,338192.654,361976.088,362166.541,361979.634,362161.622,362262.001
25,4.498,4.495,4.515,4.305,4.315,4.139,4.548,4.478,4.273,4.41,27159.525,27310.457,26773.669,27056.961,27319.5,51974.232,52320.257,52321.723,52327.165,52315.643,77375.716,77328.34,77307.757,76960.71,77326.465,76965.569,77325.556,77333.186,76954.125,77216.552,102333.125,102337.621,102322.185,102322.067,102311.531,127341.221,127325.622,127326.752,127339.049,127326.901,152377.131,151959.779,152045.613,152328.238,152327.251,177326.281,177323.459,177333.577,177333.532,177337.998,202328.563,202337.824,202052.363,202331.519,202333.825,202080.703,202326.729,201971.686,202325.466,202317.043,226848.927,227376.972,227474.269,227338.948,227347.503,252334.218,251831.15,252336.748,252346.248,252340.279,277340.692,277335.099,277340.893,277339.908,276923.039,302340.714,302130.08,302003.275,302062.892,301999.426,326964.925,327266.147,329705.215,327145.34,327490.221,352064.728,354708.608,352044.236,353636.509,352113.932,353940.431,352096.825,355623.915,352130.907,352236.345,377150.092,377230.723,377250.081,377107.752,377141.455
26,4.385,4.288,4.483,4.272,4.368,4.187,4.548,4.388,4.23,4.385,28031.495,28408.478,28043.114,28410.185,28402.239,54420.042,54426.161,54433.641,54033.767,54416.411,80423.04,80467.338,80413.551,80407.575,80436.186,80235.368,80359.624,80418.861,80184.906,80393.432,106423.101,106107.286,106423.008,106423.266,106034.613,132124.405,132421.669,132413.63,131848.537,132412.345,158427.214,158410.288,158440.598,158423.27,158542.275,184422.593,184173.437,184048.408,184452.068,184049.629,210476.665,210439.186,210490.549,210432.42,210458.984,210432.66,210120.389,210413.536,210440.206,210428.591,236414.696,236426.769,236429.117,236428.01,236415.152,262475.321,262431.788,262488.165,262432.259,262434.8,288468.597,288435.115,288470.324,288418.361,288438.583,314439.898,314194.373,314115.89,314171.694,314131.34,340088.94,340091.009,340089.005,340293.362,340219.892,366054.852,366177.919,366081.484,366182.2,366183.575,366177.16,370146.991,366148.126,366307.472,366229.146,393090.051,392303.519,392453.997,392736.798,392284.029
27,4.477,4.195,4.45,4.786,4.275,4.736,4.483,4.506,4.48,4.327,29567.18,29507.051,29115.612,29511.426,29498.612,56511.741,56174.301,56509.481,56528.404,56515.322,83487.264,83512.365,83197.816,83531.203,83520.632,83512.475,83126.498,83109.326,83517.516,83129.209,110516.734,109931.876,110517.448,110533.397,110123.188,137530.868,137516.395,137521.676,137519.011,137151.651,164129.727,164569.52,164533.199,164507.114,163971.624,191524.691,191520.399,191218.95,191522.767,191515.091,218567.169,218531.835,218527.467,218519.411,218525.43,218520.558,218664.521,218521.325,218537.871,218518.626,245654.863,244916.733,245524.226,245532.335,245540.466,272538.256,272610.288,272526.473,272530.939,272539.286,299522.389,299524.334,299510.474,299544.906,299573.685,326547.842,326190.231,326200.385,326286.283,326236.303,353576.395,353453.072,353199.868,353273.27,353203.794,380747.32,380172.469,380274.262,384042.308,380364.838,380313.299,380866.838,380187.183,380432.973,383763.82,408004.971,407448.649,407475.676,407244.893,407310.27
28,4.591,4.275,4.631,4.48,4.581,4.445,4.641,4.123,4.408,4.646,30195.95,30506.936,30613.226,30604.361,30585.871,58632.312,58608.212,58196.24,58612.193,58607.299,86623.098,86616.858,86615.071,86197.372,86625.104,86199.502,86619.399,86628.037,86621.645,86628.555,114613.074,114617.747,114197.715,114612.159,114611.982,142662.654,142615.62,142619.371,142619.027,142621.315,170643.636,170616.704,170619.385,170744.076,170617.002,198592.6,198579.407,198623.687,198625.883,198616.952,226637.343,226669.876,226620.442,226632.409,226624.649,226616.082,226623.842,226620.896,226615.771,226523.49,254625.187,254214.985,254738.506,254874.643,254046.655,282632.188,282667.748,282676.493,282620.273,282628.008,310632.598,310626.023,310737.551,310057.692,310619.586,338629.207,338445.604,338273.854,338267.808,338216.354,367641.738,366263.071,366224.75,366192.157,366285.433,394561.898,394211.895,396895.224,394257.468,394636.992,394221.66,394236.504,396554.744,394484.329,394270.445,422288.101,422443.876,422294.167,422269.633,422490.273
29,4.691,4.218,4.463,4.257,4.5,4.521,4.33,4.488,4.445,4.408,31711.293,31295.998,31705.757,31699.322,31700.089,60677.539,60747.989,60871.232,60716.223,60720.415,89697.42,89716.508,89709.926,89716.619,89348.703,89287.453,89758.257,89069.481,89717.203,89715.075,118280.022,118703.039,118341.8,118730.497,118715.941,147718.54,147755.713,147716.457,147737.977,147700.764,176715.367,176686.22,176465.076,176717.672,176294.34,205368.894,205726.249,205733.13,205723.004,205694.27,234707.773,234728.834,234714.868,234708.768,234711.031,234322.403,234722.399,234356.792,234296.12,234350.603,263786.056,263853.825,263713.668,263286.951,263761.833,292725.2,292769.738,292720.434,292291.712,292729.274,321508.264,321359.773,321712.625,321742.046,321721.213,350459.23,350384.023,350538.593,350319.594,353305.707,379300.024,386159.02,379366.944,379330.241,379394.299,408281.736,408318.538,408465.478,410482.605,408385.606,408444.266,408355.822,408364.279,408387.796,409844.937,437600.532,437440.329,437547.956,437430.357,437522.424
30,4.412,4.21,4.553,4.403,4.273,4.087,4.234,4.518,4.348,4.32,32803.736,32805.723,32760.521,32790.077,32794.482,62804.595,62434.763,62847.061,62791.502,62358.244,92801.194,92792.97,92808.632,92801.592,92812.225,92844.737,92356.599,92862.077,92821.138,92776.863,122884.91,122795.909,122561.632,122805.964,122813.865,152803.183,152801.115,152834.6,152358.545,152807.397,182803.317,182787.887,182767.697,182442.403,182798.955,212801.556,212811.148,212369.259,212839.706,212157.868,242581.414,242811.992,242813.091,242810.408,242800.495,242812.829,242814.039,242797.676,242828.668,242831.913,272826.412,272821.323,272804.106,272893.313,272914.713,302830.972,302828.636,302839.025,302857.858,302818.776,332804.843,332815.342,332834.13,332820.148,332820.624,362833.353,362631.294,362501.091,362371.303,363796.453,393679.257,392376.41,397470.036,394041.459,392353.766,426937.337,422615.351,422508.577,422675.678,422703.151,422423.723,422432.845,422411.115,425727.974,422716.052,452445.351,452917.118,454216.76,453144.734,454427.57
31,4.462,4.214,4.197,4.122,4.561,4.36,4.415,4.159,4.523,4.548,33834.149,33684.538,33887.956,33875.83,33882.728,64876.446,64961.483,64508.694,64939.033,64901.356,95826.54,95537.963,95863.371,95905.375,95919.62,95439.784,95902.222,95914.055,96040.707,95914.797,126904.324,126438.103,126908.443,126958.309,126900.037,157894.331,157894.639,157907.353,157901.151,157913.447,188263.024,188891.075,188902.609,188908.55,188582.848,219899.156,219902.626,219922.723,219897.778,219907.145,250915.618,251546.265,250520.776,250568.889,251040.224,250907.963,250920.46,250914.804,251029.313,250942.716,281903.311,281509.484,281912.63,281954.041,281919.281,312911.683,312926.444,313042.259,312908.1,313037.303,343905.701,343919.43,343912.021,343906.619,343966.414,374955.694,374567.048,374656.62,378332.559,378181.859,405562.499,405949.98,406208.619,406830.351,406467.51,441940.81,441051.519,438322.778,437284.695,436637.675,436728.996,436698.3,436573.555,436419.546,436785.996,467600.081,467599.186,467549.128,467708.596,467814.751
32,4.726,4.312,4.255,4.443,4.195,4.37,4.536,4.466,4.38,4.214,34992.425,35013.681,34988.079,34953.898,34614.043,66592.562,66590.912,66993.681,66994.16,66960.763,99007.688,98996.625,99010.941,98972.978,98996.628,99003.128,98998.369,99001,99012.151,99002.627,130996.309,130999.101,130996.036,130523.567,130991.666,163001.483,163002.352,163006.55,163002.448,163001.528,195004.146,195009.128,194583.308,195012.768,195002.292,226599.375,227005.15,226333.383,227006.81,227007.984,258530.423,259012.537,258743.482,259009.986,258606.78,258787.142,259023.577,259001.556,258968.323,259016.752,291028.734,291054.992,291011.253,291093.087,291009.828,323008.924,323136.778,322899.628,322936.152,323130.563,355044.667,355005.125,354529.416,355003.452,355011.402,387018.521,386721.304,386769.511,389130.068,388414.982,419226.296,424250.231,418690.854,418583.392,418602.374,450637.642,450636.235,452315.643,450690.748,450568.996,450801.914,450911.024,453329.495,450699.273,450849.011,482860.56,482693.899,482842.984,482848.652,482920.345
33,4.461,4.194,4.105,4.381,4.317,4.558,4.059,4.318,4.568,4.486,36088.847,36088.905,36100.459,35594.43,35877.99,69079.926,69050.064,68845.657,69091.784,69100.018,102083.155,102091.352,102103.756,102092.209,102093.274,102118.189,102092.241,101961.557,102090.154,102099.28,134328.599,135107.28,135133.463,135094.874,135105.463,168095.623,168110.713,168103.887,168092.681,167706.755,201100.586,200603.55,201187.975,201228.379,201109.758,234096.717,233673.637,233666.768,234101.841,234090.151,267230.16,267101.808,267109.548,267095.874,267116.905,267109.877,267098.944,267097.155,267243.551,267105.419,300154.256,300126.607,300106.207,300114.041,300123.48,333111.09,333150.564,333239.512,333102.741,333101.784,366162.802,366105.112,366222.776,366113.792,366096.719,399197.261,398879.445,398837.808,401971.905,399951.801,433534.294,431821.978,434235.053,434827.083,431663.916,465185.763,466253.47,464711.13,464768.172,464897.174,464717.088,464873.061,464773.256,464772.153,465065.944,497782.745,497854.179,497915.526,497796.383,497732.721
34,4.403,4.347,4.551,4.555,4.545,4.483,4.317,4.446,4.267,4.265,36681.281,37184.773,36685.563,36898.803,37788.726,71175.526,71191.401,71165.318,71191.18,71180.164,105175.423,105195.142,105179.972,105239.562,105187.649,105235.357,105194.099,105209.675,105180.71,105192.843,139229.691,139203.182,139182.086,139223.967,139182.474,173221.857,173201.337,173191.329,173199.147,173191.93,207195.373,207196.365,207206.681,207174.216,207195.157,241200.842,241203.706,241312.598,241220.122,241298.58,275209.038,275199.318,275206.049,275202.671,275204.131,275206.131,275201.475,275242.348,275222.655,275238.932,309217.705,309195.24,309042.307,308849.39,309208.085,343186.352,343210.726,343208.385,343208.012,343208.759,376856.933,377209.021,377202.501,377219.277,377197.986,411197.664,410778.148,410930.271,412669.083,411141.547,448669.411,445067.149,444838.883,444640.595,447987.889,482002.166,481344.742,478892.889,478926.917,481319.813,478901.225,478961.525,480009.917,479221.732,480246.954,512903.698,512965.083,513046.718,513281.539,513059.133
35,4.468,4.49,4.407,4.553,4.651,4.343,4.608,4.56,4.272,4.448,37745.825,38039.616,38230.637,38258.94,38292.999,72752.028,72753.178,73268.747,72763.434,72756.634,108238.096,108290.156,108294.894,108288.407,108343.199,108279.584,108254.711,108247.229,108228.887,108294.857,142994.52,142763.854,143283.122,143237.499,143301.948,178288.594,178288.428,178323.574,178296.013,177797.095,212775.072,213302.352,213307.189,213317.019,213277.194,248350.989,248300.593,248298.042,248329.184,248418.497,283278.044,283080.772,283306.199,283302.832,283301.241,283293.029,283426.755,283300.544,283296.663,283302.406,318305.593,318306.285,318296.965,318298.479,318143.423,353315.333,353275.626,353420.204,353273.034,353433.656,388499.966,388010.455,387538.538,388305.128,388271.335,423304.373,422910.045,422814.403,426512.544,424478.269,458588.103,457744.349,457774.974,458722.258,457825.25,495585.826,493031.256,492981.423,498494.263,493069.061,494716.594,492994.586,492952.869,493001.999,493066.681,528049.157,528174.293,528202.315,527962.659,528545.749
36,4.595,4.109,4.571,4.4,4.162,4.513,4.535,4.328,4.416,4.307,39361.02,39347.482,38839.188,38833.241,38666.088,75333.223,74822.01,75355.879,74826.548,75394.951,111383.022,111379.023,111393.81,111383.652,111057.027,111463.211,111365.277,111371.897,111376.235,111402.47,147433.223,147412.092,147375.515,147387.029,147370.651,182830.137,183408.34,183391.157,183396.681,183393.613,219382.113,219493.907,219387.451,219398.071,218841.823,255139.347,255484.434,255409.173,254725.173,255394.291,291433.734,291398.112,291388.894,291496.046,291389.114,291411.367,291389.121,290619.043,290859.232,291362.803,327386.51,327398.306,327380.3,327182.433,327404.927,363459.437,363040.71,363407.851,363534.513,363515.617,399152.125,399405.216,399408.128,399410.301,399399.876,435401.061,435058.136,434937.867,436527.839,434733.925,471886.236,470890.684,470864.556,471038.129,471474.944,507700.436,510407.845,507177.271,506891.229,507098.338,509631.743,507121.251,507338.623,507106.56,510392.618,543126.713,543082.566,543099.029,543099.635,543119.915
