id,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24
41,44820,44842,44852,44841,44851,44847,44843,44845,44832,44232,85368,85929,85841,85759,85222,126228,126872,126867,126860,126837,167830,167874,167858,167825,167854
42,45919,45942,45939,45308,45956,45943,45931,45934,45930,45935,87946,87306,87947,87933,87958,129933,129957,130009,129519,129938,171952,171315,171972,171950,171942
43,47007,46381,47037,47068,47041,46898,47044,47043,47036,47083,90047,90106,90053,89405,89979,133050,133096,133077,133048,133067,176087,176038,176038,176174,176060
44,48121,48121,48137,47461,47461,47984,48128,48035,48141,48179,92156,92148,92054,91537,92156,136135,136158,136151,136142,136135,180133,180221,180115,179504,179151
45,49202,49203,49236,49216,48546,49214,48203,49215,48554,49232,94232,94256,94270,94226,94352,139242,139237,139244,138619,139221,183621,184350,183564,184243,184296
46,50317,50320,50099,50318,50198,50307,49634,50302,50323,50328,96295,95818,96462,96332,96342,142351,142352,141711,142358,142324,187684,187794,187693,188324,188343
47,51393,50305,51405,50919,51403,51393,51403,51426,51420,51422,98421,98440,98426,98427,98409,145442,145186,145490,145421,145461,192005,192437,192448,192420,191785
48,52518,52542,51815,52494,52550,52518,52527,52511,52503,51426,100437,99772,100534,100518,99783,148541,148376,147797,148556,147780,196142,196541,195785,196529,196527
49,53595,53278,53615,53595,53611,52882,53594,53615,53170,53631,102623,102597,102639,102610,102624,151589,151618,150862,151618,151677,199548,200649,200603,200631,200640
50,54741,54700,54685,54698,54698,54733,54741,53934,54326,54709,103941,104768,104009,104635,104731,154728,154717,154715,154740,154726,204704,204734,204707,204710,204736
