"x"
"1",172578.846
"2",374318.796
"3",663062.657
"4",948551.453
"5",1230270.68
"6",1517733.965
"7",1807663.448
"8",2091205.723
"9",2374517.16
"10",2663614.243
"11",2949599.724
"12",3238227.036
"13",3518910.498
"14",3803529.106
"15",4092758.244
"16",4380366.958
"17",4668712.338
"18",4950963.547
"19",5240513.521
"20",5522267.916
"21",5815041.461
"22",6096703.778
"23",6388079.157
"24",6666764.336
"25",6957565.446
"26",7238964.301
"27",7537427.767
"28",7807052.175
"29",8097080.526
"30",8387885.717
"31",8674705.764
"32",8960219.716
"33",9243620.715
"34",9523626.325
