"x"
"1",4.626
"2",17.555
"3",9.806
"4",12.462
"5",1.863
"6",7.893
"7",6.717
"8",1.187
"9",8.589
"10",7.586
"11",52.138
"12",22.921
"13",4.814
"14",14.925
