id,label,weight,gab_feed1_ver4.OptimizedMultiplier.fastMultiply_BasicBlock_28_0,gab_feed1_ver4.OptimizedMultiplier.standardMultiply_BasicBlock_13_126,gab_feed1_ver4.gab_feed1.main_BasicBlock_153_82,gab_feed1_ver4.ModPow.modPow_BasicBlock_11_84,gab_feed1_ver4.gab_feed1.main_BasicBlock_116_22,gab_feed1_ver4.OptimizedMultiplier.fastMultiply_BasicBlock_31_31,gab_feed1_ver4.gab_feed1.main_BasicBlock_157_147,gab_feed1_ver4.gab_feed1.main_BasicBlock_87_0,gab_feed1_ver4.ModPow.modPow_BasicBlock_18_116,gab_feed1_ver4.gab_feed1.main_BasicBlock_162_186,gab_feed1_ver4.OptimizedMultiplier.standardMultiply_BasicBlock_17_53,gab_feed1_ver4.KeyExchangeServer.generateMasterSecret_BasicBlock_80_0,gab_feed1_ver4.ModPow.modPow_BasicBlock_13_28,gab_feed1_ver4.gab_feed1.main_BasicBlock_152_67,gab_feed1_ver4.gab_feed1.main_BasicBlock_155_192,gab_feed1_ver4.ModPow.modPow_BasicBlock_9_0,gab_feed1_ver4.ModPow.modPow_BasicBlock_11_98,gab_feed1_ver4.gab_feed1.main_BasicBlock_153_98,gab_feed1_ver4.gab_feed1.main_BasicBlock_150_44,gab_feed1_ver4.gab_feed1.main_BasicBlock_155_128,gab_feed1_ver4.gab_feed1.callGenerator_BasicBlock_46_0,gab_feed1_ver4.gab_feed1.main_BasicBlock_156_144,gab_feed1_ver4.OptimizedMultiplier.standardMultiply_BasicBlock_18_72
1,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,4096,0.1,0.1,1,1,0.1,0.1,0.1,1,1,3.0y+0.0
2,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,4032,0,0,1,1,0,0,0,1,1,3.0y+0.0
3,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,3968,0,0,1,1,0,0,0,1,1,3.0y+0.0
4,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,3904,0,0,1,1,0,0,0,1,1,3.0y+0.0
5,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,3840,0,0,1,1,0,0,0,1,1,3.0y+0.0
6,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,3776,0,0,1,1,0,0,0,1,1,3.0y+0.0
7,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,3712,0,0,1,1,0,0,0,1,1,3.0y+0.0
8,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,3648,0,0,1,1,0,0,0,1,1,3.0y+0.0
9,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,3584,0,0,1,1,0,0,0,1,1,3.0y+0.0
10,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,3520,0,0,1,1,0,0,0,1,1,3.0y+0.0
11,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,3456,0,0,1,1,0,0,0,1,1,3.0y+0.0
12,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,3392,0,0,1,1,0,0,0,1,1,3.0y+0.0
13,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,3328,0,0,1,1,0,0,0,1,1,3.0y+0.0
14,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,3264,0,0,1,1,0,0,0,1,1,3.0y+0.0
15,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,3200,0,0,1,1,0,0,0,1,1,3.0y+0.0
16,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,3136,0,0,1,1,0,0,0,1,1,3.0y+0.0
17,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,3072,0,0,1,1,0,0,0,1,1,3.0y+0.0
18,1,100,4,2.6,0,1,0,1,0,0,1,0,1.6y+10687.1,1,3008,0,0,1,1,0,0,0,1,1,3.0y+0.0
