id,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63
41,1630.8,876.5,1620.7,968.8,1704.7,1020.8,1746.4,963.2,1694.8,1005.0,1723.3,1051.8,1793.6,1116.8,1833.0,1035.6,1753.5,1067.2,1787.8,1060.9,1787.5,1104.9,1866.9,1039.4,1775.5,1079.9,1779.1,1072.7,1771.2,1108.4,1804.7,1397.5,1873.7,1130.8,1865.8,1134.9,1874.7,1170.6,1923.2,1155.4,1862.4,1185.4,2217.2,1184.9,1917.1,1195.3,1908.6,1096.2,1829.5,1113.0,1842.4,1123.2,1865.8,1161.7,1944.3,1161.5,1860.2,1155.3,1879.4,1164.2,1921.1,1211.3,1908.8,1119.2
42,1633.2,882.0,1624.3,946.8,1700.6,1011.8,1707.6,968.3,1734.0,983.5,1748.1,1055.8,1806.9,1081.5,1833.5,1024.1,1790.7,1066.5,1829.5,1089.0,1797.0,1087.2,1838.4,1026.2,1793.1,1060.9,1817.8,1074.4,1810.1,1110.1,2131.7,1124.9,1888.3,1151.5,1867.8,1135.9,1914.4,1201.9,1936.3,1150.8,1876.6,1463.9,1945.5,1207.7,1968.4,1237.7,1945.4,1134.0,1857.8,1132.3,1895.6,1139.4,1905.8,1199.0,1954.8,1136.8,1847.8,1159.8,1921.8,1173.8,1920.9,1205.5,1939.0,1108.5
43,1685.9,908.1,1719.3,1014.5,1776.8,1078.9,1838.9,1000.4,1784.7,1116.0,1843.2,1132.3,1916.0,1258.3,1938.8,1075.9,1820.7,1163.2,1959.8,1106.6,1856.0,1240.4,1989.1,1098.5,1856.7,1192.6,1933.8,1106.4,1866.0,1228.9,1939.3,1136.7,1933.6,1214.8,2002.5,1192.3,1966.7,1300.8,2015.4,1196.4,1960.2,1293.5,2046.8,1218.6,2031.6,1302.1,2030.2,1148.1,1917.6,1219.6,1999.8,1176.7,1959.8,1259.8,2003.5,1230.1,1939.0,1249.7,2017.7,1235.3,2009.5,1325.3,2031.7,1131.9
44,1709.8,906.0,1707.7,1001.7,1783.5,1087.6,1806.2,1007.0,1801.8,1031.8,1825.2,1107.8,1882.7,1166.2,1924.5,1061.4,1859.8,1097.1,1912.7,1102.2,1866.9,1133.9,1928.8,1075.2,1870.7,1111.2,2183.1,1427.2,1891.5,1157.3,1915.2,1177.4,1943.7,1164.4,1930.5,1183.1,1974.1,1255.1,2000.2,1167.4,1957.6,1231.2,2002.7,1217.4,2018.2,1265.1,2038.7,1175.8,1930.5,1186.3,1944.4,1151.5,1945.9,1230.2,1996.0,1188.7,1937.3,1180.2,1964.1,1247.0,1994.7,1288.1,2051.4,1172.0
45,2071.3,929.3,1763.5,1003.9,1806.8,1063.2,1853.9,995.9,1817.2,1044.5,1843.1,1119.6,1918.9,1145.6,1914.3,1088.3,1870.5,1104.1,1950.4,1099.6,1915.1,1147.6,1985.2,1063.2,1885.8,1165.2,1969.6,1131.8,1910.0,1141.1,1915.7,1157.0,2003.3,1188.5,1952.7,1172.2,1983.7,1257.5,2051.9,1178.3,1963.5,1229.7,2020.4,1216.2,2025.5,1270.4,2066.1,1160.7,1976.4,1159.4,2003.8,1214.8,1969.5,1246.2,2010.6,1174.4,1962.8,1225.8,2031.1,1202.7,2045.7,1263.9,2053.1,1168.9
46,1771.6,950.6,1797.1,1367.7,1881.0,1158.3,1946.2,1045.4,1894.3,1174.5,1926.0,1189.5,1971.8,1266.0,2045.7,1122.4,1938.5,1230.5,2028.4,1199.4,1987.2,1258.9,2062.5,1146.9,1949.9,1215.2,2048.3,1151.6,1976.3,1241.9,2053.1,1201.9,2047.3,1289.8,2065.1,1239.0,2040.7,1304.0,2112.8,1273.8,2064.6,1319.7,2086.3,1265.9,2075.8,1329.6,2132.8,1201.6,2000.4,1240.4,2058.6,1244.8,2025.8,1311.6,2116.2,1285.9,2043.8,1332.2,2120.1,1258.7,2095.3,1314.3,2098.9,1206.5
47,1798.6,987.6,1815.0,1057.9,2166.3,1073.7,1918.0,1050.4,1875.0,1107.6,1887.7,1143.1,1988.2,1167.4,2029.4,1113.9,1944.3,1143.7,1985.2,1475.5,1991.2,1195.4,2010.1,1127.6,1931.3,1140.3,1974.2,1190.1,1976.2,1176.7,2042.7,1197.7,2040.8,1225.6,2056.8,1229.9,2028.2,1268.9,2092.0,1239.0,2076.9,1231.0,2121.0,1296.0,2089.8,1290.2,2142.2,1229.5,2030.0,1207.3,2063.3,1214.7,2056.3,1258.9,2124.2,1254.7,2077.6,1274.3,2073.2,1295.5,2082.3,1289.0,2129.4,1190.9
48,1847.2,982.5,1827.9,1046.2,1906.5,1117.7,1939.4,1064.0,1900.0,1106.6,1903.8,1166.0,2023.7,1168.4,2043.9,1128.9,1981.3,1128.6,2029.1,1198.5,2006.4,1180.4,2015.9,1128.8,1984.0,1197.3,1993.1,1172.9,2009.6,1178.7,2018.2,1208.8,2052.8,1219.3,2065.6,1206.3,2037.5,1284.9,2108.9,1214.5,2096.4,1240.0,2095.3,1270.8,2098.6,1306.0,2139.0,1500.5,2047.4,1274.8,2067.4,1217.1,2080.8,1265.1,2115.4,1228.4,2068.1,1253.5,2124.3,1287.8,2159.9,1282.7,2142.4,1212.1
49,1839.0,984.1,1880.4,1124.5,1967.8,1176.0,2059.8,1092.3,1951.0,1190.9,2029.4,1208.6,2082.0,1332.9,2149.7,1171.3,2027.2,1293.5,2098.3,1230.0,2070.3,1294.1,2119.2,1180.5,2031.9,1260.7,2098.9,1189.6,2047.9,1312.6,2135.6,1227.0,2093.9,1318.7,2159.9,1269.7,2162.0,1350.3,2210.1,1297.4,2128.4,1349.5,2194.8,1331.7,2192.8,1400.4,2233.2,1232.4,2109.5,1333.0,2134.2,1287.1,2112.1,1331.5,2206.5,1286.6,2139.6,1358.7,2231.2,1311.3,2163.2,1378.9,2232.4,1243.9
50,1875.2,1008.0,1907.7,1088.2,1976.1,1150.6,2006.4,1125.0,1961.0,1107.8,2021.2,1195.4,2390.4,1269.7,2119.6,1168.9,2045.1,1209.0,2094.4,1169.7,2057.5,1251.4,2081.0,1146.4,2067.0,1187.2,2083.5,1206.7,2096.4,1246.4,2143.4,1237.7,2125.7,1269.5,2137.4,1245.1,2139.9,1319.1,2193.3,1299.9,2154.3,1299.7,2163.1,1353.2,2181.2,1353.6,2215.1,1256.9,2119.0,1263.5,2158.6,1278.7,2180.6,1308.4,2197.2,1286.2,2162.2,1298.3,2178.1,1326.1,2214.9,1326.0,2187.4,1259.6
51,1922.2,1020.0,1939.9,1104.2,1987.2,1148.6,2009.4,1089.8,1984.4,1487.8,2039.6,1219.8,2091.3,1253.4,2115.0,1163.7,2072.0,1195.6,2088.4,1205.7,2125.4,1242.6,2112.3,1158.5,2060.5,1193.3,2096.5,1203.3,2114.5,1227.3,2129.0,1244.4,2160.6,1263.5,2159.3,1302.8,2149.3,1318.0,2235.2,1286.8,2150.4,1334.7,2193.4,1317.6,2207.5,1665.9,2261.1,1259.5,2121.7,1260.5,2161.4,1274.8,2172.3,1303.8,2263.9,1273.7,2172.8,1295.3,2181.0,1328.5,2197.4,1309.4,2241.6,1263.1
52,1941.0,1016.7,1966.1,1147.6,2049.8,1232.1,2110.1,1161.1,2059.3,1228.2,2121.5,1262.6,2160.1,1354.8,2221.2,1204.4,2120.1,1295.1,2196.5,1303.8,2175.1,1363.1,2240.7,1217.2,2136.7,1317.2,2199.9,1246.3,2161.2,1342.3,2231.7,1276.1,2216.4,1384.3,2262.0,1353.9,2231.4,1364.9,2305.8,1327.8,2252.7,1416.1,2322.1,1367.0,2585.8,1426.5,2320.3,1280.2,2219.9,1357.0,2285.9,1327.2,2246.5,1379.5,2303.5,1349.5,2239.6,1384.6,2283.7,1361.7,2288.0,1414.1,2335.5,1285.8
53,1959.0,1067.5,1978.6,1147.2,2086.5,1203.2,2099.4,1126.3,2051.6,1176.3,2126.9,1252.7,2163.6,1274.4,2201.4,1226.7,2125.6,1235.2,2165.0,1261.1,2170.2,1287.3,2188.1,1195.9,2140.5,1251.8,2146.4,1216.9,2186.1,1259.1,2182.9,1283.9,2209.9,1321.9,2254.6,1333.3,2257.0,1340.2,2287.2,1331.1,2250.6,1360.2,2280.2,1370.7,2282.3,1375.5,2310.2,1283.7,2215.1,1303.9,2233.4,1296.7,2246.0,1355.7,2278.5,1341.1,2255.5,1349.2,2272.8,1376.6,2283.0,1368.6,2321.4,1292.5
54,1989.0,1071.5,2005.0,1152.9,2070.3,1199.1,2115.4,1149.0,2094.9,1167.4,2112.4,1225.8,2178.3,1276.8,2239.4,1225.3,2151.6,1274.6,2185.4,1266.8,2198.4,1263.8,2214.2,1197.9,2157.8,1269.9,2226.7,1233.1,2185.0,1262.8,2228.1,1295.0,2245.3,1333.7,2240.5,1337.3,2234.8,1356.6,2341.7,1291.2,2286.7,1359.1,2297.3,1384.9,2307.7,1406.8,2334.9,1282.3,2247.3,1310.1,2255.3,1293.2,2249.9,1371.1,2327.3,1325.1,2260.0,1328.8,2280.1,1379.3,2309.9,1394.9,2335.6,1291.3
55,2025.4,1084.1,2033.9,1188.3,2165.9,1281.0,2248.3,1194.5,2159.2,1286.2,2209.2,1276.8,2265.6,1375.8,2318.1,1263.9,2217.9,1333.4,2278.7,1295.4,2301.8,1366.2,2333.2,1266.5,2234.3,1324.7,2284.4,1284.8,2256.7,1397.0,2321.6,1340.1,2315.7,1427.5,2354.9,1380.8,2324.2,1417.3,2396.3,1349.0,2347.8,1471.3,2676.0,1433.4,2377.2,1487.7,2408.7,1305.0,2294.9,1424.2,2360.6,1336.0,2339.2,1420.2,2426.5,1384.2,2330.3,1456.0,2380.3,1400.5,2368.7,1451.7,2413.9,1328.2
56,2070.7,1084.6,2095.9,1183.5,2159.5,1214.1,2194.5,1175.1,2192.7,1215.1,2179.9,1260.0,2254.4,1330.8,2283.6,1232.9,2226.7,1266.0,2260.2,1274.1,2296.4,1307.5,2320.6,1272.2,2208.4,1266.4,2265.8,1320.1,2248.2,1311.8,2569.9,1350.2,2326.4,1350.3,2330.8,1395.5,2318.3,1399.4,2374.7,1345.7,2342.8,1373.6,2325.0,1410.7,2366.1,1463.1,2398.7,1309.2,2316.0,1352.8,2373.4,1341.9,2329.9,1387.5,2406.5,1393.6,2343.0,1386.3,2339.6,1417.9,2370.9,1432.3,2704.6,1338.8
57,2115.4,1128.4,2113.1,1198.0,2181.9,1239.8,2221.3,1191.5,2169.3,1211.7,2249.5,1278.2,2287.4,1317.4,2312.6,1241.6,2265.9,1271.6,2272.9,1274.3,2299.5,1302.5,2314.8,1253.0,2258.8,1271.0,2290.6,1341.4,2267.7,1316.6,2310.6,1656.4,2346.9,1371.4,2360.6,1401.2,2328.5,1433.8,2424.1,1335.4,2333.5,1406.3,2355.4,1440.8,2401.5,1440.6,2442.7,1326.0,2342.9,1381.8,2367.8,1337.0,2335.2,1406.5,2425.2,1378.8,2333.5,1414.7,2393.6,1454.1,2374.7,1435.9,2412.5,1619.0
58,2139.6,1143.3,2125.4,1238.4,2245.5,1333.6,2313.6,1258.7,2260.8,1318.7,2317.8,1359.4,2345.9,1423.9,2428.2,1305.9,2318.1,1366.9,2377.4,1315.2,2357.8,1420.4,2403.9,1294.9,2348.0,1355.3,2708.0,1380.5,2373.4,1430.2,2422.1,1396.2,2392.9,1446.2,2462.6,1433.4,2388.1,1511.5,2519.7,1402.9,2412.4,1485.1,2474.3,1433.4,2462.9,1493.9,2513.7,1357.7,2382.0,1443.6,2470.0,1382.7,2419.5,1478.1,2502.0,1430.4,2413.3,1512.5,2478.5,1435.3,2429.6,1547.7,2498.7,1386.6
59,2183.8,1157.0,2495.0,1232.0,2266.0,1281.0,2273.2,1223.9,2254.4,1263.5,2296.0,1366.0,2394.0,1363.3,2382.7,1289.1,2317.6,1307.0,2345.5,1324.9,2351.9,1378.9,2395.2,1274.1,3041.3,1299.4,2344.2,1359.8,2349.8,1372.3,2373.3,1386.7,2438.7,1382.5,2452.1,1390.0,2411.9,1451.5,2492.2,1381.6,2423.3,1436.3,2442.7,1463.9,2472.0,1475.9,2494.0,1374.5,2414.8,1384.7,2417.3,1367.6,2425.5,1446.8,2489.8,1406.8,2424.3,1415.4,2467.0,1433.6,2447.5,1491.9,2508.1,1385.4
60,2215.1,1151.4,2213.5,1256.0,2284.6,1247.5,2298.8,1214.5,2273.8,1266.4,2307.0,1357.2,2398.5,1378.1,2402.4,1307.5,2331.6,1313.7,2367.6,1334.0,2392.9,1394.5,2397.4,1276.3,2365.2,1306.4,2367.0,1651.1,2372.5,1353.4,2394.6,1400.0,2447.3,1391.9,2485.0,1379.9,2413.5,1465.4,2828.2,1423.5,2421.7,1469.1,2464.2,1494.1,2476.1,1504.7,2501.2,1378.8,2422.6,1403.6,2436.3,1388.7,2447.0,1449.2,2507.3,1410.9,2423.5,1411.1,2479.0,1446.8,2487.2,1510.3,2535.6,1384.0
61,2235.2,1179.0,2242.5,1276.0,2690.5,1345.6,2403.9,1285.6,2334.1,1404.3,2386.0,1406.9,2441.9,1497.8,2517.6,1354.2,2421.0,1417.7,2463.6,1378.4,2454.7,1498.3,2523.5,1328.8,2411.1,1412.9,2465.9,1443.3,2488.1,1469.7,2521.2,1416.5,2493.1,1492.8,2524.5,1430.5,2510.2,1555.8,2591.8,1487.7,2498.4,1542.5,2548.5,1492.2,2529.2,1562.5,2604.8,1416.4,2482.7,1518.9,2561.3,1451.8,2491.1,1540.5,2614.3,1462.4,2519.9,1522.5,2559.3,1481.5,2533.9,1564.2,2615.0,1411.1
62,2278.7,1185.1,2272.2,1275.3,2366.7,1287.4,2374.6,1272.8,2339.9,1313.5,2349.7,1418.6,2460.1,1411.9,2460.3,1361.3,2414.2,1337.9,2441.4,1381.8,2456.8,1412.0,2494.2,1309.3,2418.5,1345.5,2427.1,1398.0,2468.2,1428.5,2480.4,1441.7,2499.4,1482.1,2495.8,1431.3,2507.8,1498.7,2578.8,1470.1,2513.6,1475.9,2542.5,1468.8,2600.6,1549.8,2595.6,1407.0,2525.5,1442.5,2523.2,1445.4,2500.3,1520.3,2568.9,1473.9,2537.8,1486.5,2825.2,1511.5,2550.6,1526.9,2575.8,1425.4
63,2303.5,1204.7,2290.5,1299.0,2361.9,1282.2,2404.4,1281.5,2394.2,1323.6,2389.3,1397.5,2486.6,1384.9,2485.0,1373.8,2456.3,1359.8,2449.7,1724.2,2473.4,1396.8,2546.3,1326.0,2423.5,1354.9,2465.0,1386.3,2482.0,1448.6,2485.4,1436.5,2514.9,1447.4,2520.5,1448.6,2541.9,1479.7,2625.7,1448.6,2540.4,1510.0,2581.5,1486.7,2605.9,1534.8,2624.9,1422.7,2533.8,1432.4,2548.5,1442.6,2537.0,1481.7,2587.0,1444.7,2584.8,1465.9,2577.7,1486.1,2594.6,1536.7,2619.5,1420.4
64,2317.9,1207.4,2327.8,1326.0,2443.5,1390.4,2496.7,1356.0,2453.4,1427.9,2483.4,1457.2,2566.5,1501.1,2598.0,1424.5,2505.8,1487.5,2560.7,1418.8,2531.5,1514.9,2634.0,1368.2,2496.2,1470.6,2552.1,1436.7,2517.2,1541.9,2603.5,1433.5,2576.9,1539.1,2599.6,1507.2,2617.7,1578.9,2669.0,1532.9,2627.6,1579.6,2671.3,1553.5,2625.1,1590.3,2684.1,1444.9,2563.1,1528.1,2623.4,1494.2,2604.5,1572.9,2670.1,1504.4,2617.0,1591.0,2669.3,1550.0,2671.0,1599.5,2686.6,1474.6
