id,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63
11,689.0,445.1,672.9,517.6,778.8,553.0,804.7,557.8,791.3,561.3,816.6,615.3,883.4,648.6,911.0,612.1,827.7,670.6,867.3,641.2,861.2,669.2,885.3,586.2,818.9,624.9,852.8,621.1,863.6,693.0,889.4,702.0,882.7,712.6,933.9,689.8,913.9,733.8,986.9,682.5,938.0,714.1,969.7,737.1,980.9,753.7,1013.0,678.5,892.3,703.1,934.9,717.1,931.3,762.9,982.1,695.3,928.2,712.9,984.8,742.7,954.5,781.7,1026.1,673.0
12,691.5,468.3,715.2,548.0,815.1,550.9,814.5,549.9,791.5,549.2,797.2,627.7,865.3,690.9,916.4,576.6,829.7,627.4,888.6,636.8,904.1,669.8,904.5,586.8,839.0,616.5,909.9,614.5,867.6,641.1,891.8,674.1,918.6,686.1,936.2,678.2,924.0,757.1,1040.0,680.4,953.5,747.3,983.2,756.5,1008.8,773.4,1008.8,674.7,929.0,693.7,929.8,708.6,953.5,780.6,999.1,714.1,968.6,758.7,961.9,767.6,987.3,764.9,1028.1,662.9
13,1229.6,468.4,757.4,573.5,869.6,651.1,907.1,569.3,828.1,670.4,906.1,696.7,958.3,763.4,1025.8,646.1,917.7,721.9,1030.2,668.9,928.1,772.0,990.3,631.9,896.0,724.0,1007.9,705.5,941.9,769.6,1004.7,723.7,954.1,809.4,1040.2,761.0,999.9,830.7,1068.2,752.7,1592.0,836.3,1114.7,802.4,1068.1,871.0,1085.8,715.6,956.2,811.1,1059.8,763.1,1030.1,804.2,1056.0,749.7,1020.3,821.7,1077.4,775.3,1060.5,857.3,1073.5,712.0
14,774.2,497.7,758.8,565.9,865.0,603.2,859.7,563.3,838.0,591.8,877.0,653.9,914.5,703.7,1011.4,611.8,880.3,670.5,954.7,675.2,937.5,697.0,1287.2,649.8,906.6,664.9,960.6,666.8,932.4,726.6,1005.0,729.2,972.4,771.4,1062.7,727.6,1000.7,803.1,1051.1,723.8,1026.8,769.2,1049.4,765.4,1048.4,814.5,1119.3,700.2,981.2,739.3,1034.7,739.9,1004.2,776.0,1094.6,737.1,1057.6,752.3,1057.6,783.1,1059.8,817.3,1100.2,714.7
15,783.9,491.8,804.6,593.2,847.7,606.6,895.3,590.1,853.5,610.0,877.9,672.1,952.6,729.7,1002.2,636.4,921.4,662.2,958.5,711.7,979.9,688.9,1024.5,638.2,946.5,672.7,944.0,662.4,969.2,702.2,1017.3,712.4,1018.3,734.7,1019.6,731.9,1050.5,810.0,1097.6,741.9,1013.8,770.9,1054.0,784.8,1100.1,817.1,1106.8,711.7,999.6,736.6,1013.0,740.2,1038.8,800.6,1115.8,747.0,1029.0,743.1,1053.9,786.5,1081.3,822.9,1127.9,723.8
16,819.7,505.7,825.6,625.0,925.7,697.0,982.9,632.6,948.1,690.8,987.0,714.9,1012.2,818.3,1100.5,695.1,979.4,780.5,1076.7,697.2,1073.3,834.6,1093.0,681.1,993.2,753.9,1057.3,722.2,1025.7,833.5,1099.1,752.0,1102.1,828.6,1130.7,816.6,1153.1,1207.2,1191.8,833.6,1130.5,851.5,1176.2,794.4,1168.8,884.3,1241.1,757.8,1089.9,834.9,1141.8,778.4,1136.8,859.2,1153.4,798.6,1094.4,850.5,1185.8,833.5,1187.6,915.3,1201.4,750.0
17,881.6,524.3,886.7,609.4,922.2,627.1,1001.4,598.1,954.8,634.4,962.8,695.2,1056.7,759.0,1122.4,688.2,1008.3,716.3,1042.6,684.7,1043.9,751.6,1068.4,659.2,995.3,711.3,1044.6,688.1,1082.2,759.4,1094.1,751.8,1085.0,760.3,1128.3,769.8,1110.1,816.7,1153.7,797.2,1125.4,792.4,1134.5,807.1,1132.8,841.1,1195.0,758.1,1122.3,787.2,1121.6,787.9,1105.4,828.2,1145.6,793.8,1143.1,779.9,1148.3,861.0,1131.2,841.1,1172.3,731.9
18,921.5,532.4,898.8,614.6,953.7,641.4,1002.2,614.3,949.9,651.0,971.4,724.1,1082.9,736.0,1102.4,673.0,1385.8,702.5,1083.6,736.1,1061.6,747.8,1097.6,689.6,1037.8,702.3,1081.0,720.0,1066.0,734.2,1129.2,748.6,1119.7,795.2,1109.8,774.0,1148.8,814.8,1199.1,787.6,1119.9,834.0,1177.8,845.8,1205.2,840.3,1194.8,745.2,1112.9,804.8,1123.5,804.5,1136.3,813.1,1190.7,770.2,1126.5,816.9,1174.5,813.4,1233.4,881.0,1237.8,761.8
19,966.0,562.3,936.5,670.1,1036.7,743.4,1071.4,654.7,1014.2,759.5,1112.3,775.2,1120.3,852.4,1235.5,727.7,1094.3,831.2,1163.1,761.2,1171.4,832.4,1192.1,729.0,1129.6,830.4,1149.4,767.7,1123.2,861.5,1195.4,822.5,1183.3,927.5,1239.8,820.8,1203.2,907.5,1277.1,830.0,1196.8,907.5,1244.6,897.3,1235.8,915.3,1315.0,781.3,1175.8,866.8,1248.2,833.2,1178.8,899.4,1263.3,827.7,1204.7,918.4,1239.3,856.4,1256.6,925.8,1306.6,798.4
20,955.0,605.1,969.2,652.3,1049.7,690.2,1078.2,647.0,1041.1,664.0,1397.4,735.9,1470.2,813.7,1151.8,722.2,1118.3,767.9,1124.4,749.4,1135.9,774.4,1220.2,703.7,1083.3,758.8,1146.1,730.1,1183.3,782.2,1165.6,827.3,1195.6,858.2,1232.7,827.8,1528.3,861.1,1263.6,824.5,1220.0,850.7,1221.6,903.3,1247.4,890.8,1252.2,833.1,1186.0,820.9,1233.7,842.6,1224.4,849.5,1292.9,817.7,1189.3,839.8,1226.9,850.0,1234.4,907.8,1292.5,784.5
